id,time,variable,value
AS14.01,2014-02-17,call,2.0
AS14.01,2014-02-17,downtime,23023.126
AS14.01,2014-02-18,call,1.0
AS14.01,2014-02-18,downtime,54085.737
AS14.01,2014-02-19,call,7.0
AS14.01,2014-02-19,downtime,25745.915
AS14.01,2014-02-19,sms,2.0
AS14.01,2014-02-20,call,2.0
AS14.01,2014-02-20,downtime,120272.14499999999
AS14.01,2014-02-20,sms,3.0
AS14.01,2014-02-21,sms,1.0
AS14.01,2014-02-22,call,2.0
AS14.01,2014-02-22,downtime,2591.293
AS14.01,2014-02-22,sms,1.0
AS14.01,2014-02-25,call,3.0
AS14.01,2014-02-25,downtime,3692.036
AS14.01,2014-02-26,call,1.0
AS14.01,2014-02-26,circumplex.arousal,-0.25
AS14.01,2014-02-26,circumplex.valence,0.75
AS14.01,2014-02-26,downtime,106640.85
AS14.01,2014-02-26,mood,6.25
AS14.01,2014-02-26,sms,2.0
AS14.01,2014-02-27,circumplex.arousal,0.0
AS14.01,2014-02-27,circumplex.valence,0.3333333333333333
AS14.01,2014-02-27,downtime,194400.0
AS14.01,2014-02-27,mood,6.333333333333333
AS14.01,2014-02-28,call,4.0
AS14.01,2014-02-28,downtime,8382.188
AS14.01,2014-03-01,sms,1.0
AS14.01,2014-03-03,call,1.0
AS14.01,2014-03-05,call,1.0
AS14.01,2014-03-06,call,1.0
AS14.01,2014-03-06,downtime,84772.908
AS14.01,2014-03-07,call,5.0
AS14.01,2014-03-07,downtime,75001.924
AS14.01,2014-03-10,call,1.0
AS14.01,2014-03-11,call,3.0
AS14.01,2014-03-11,downtime,83349.818
AS14.01,2014-03-12,call,7.0
AS14.01,2014-03-12,downtime,99328.175
AS14.01,2014-03-12,sms,1.0
AS14.01,2014-03-13,call,4.0
AS14.01,2014-03-13,downtime,87815.313
AS14.01,2014-03-14,call,3.0
AS14.01,2014-03-14,downtime,82991.41
AS14.01,2014-03-14,sms,1.0
AS14.01,2014-03-15,sms,1.0
AS14.01,2014-03-16,downtime,80879.77
AS14.01,2014-03-16,sms,3.0
AS14.01,2014-03-17,downtime,71125.707
AS14.01,2014-03-17,sms,1.0
AS14.01,2014-03-18,call,1.0
AS14.01,2014-03-18,downtime,97215.25
AS14.01,2014-03-18,sms,2.0
AS14.01,2014-03-19,call,1.0
AS14.01,2014-03-19,downtime,83155.956
AS14.01,2014-03-20,activity,0.1630952380952381
AS14.01,2014-03-20,appCat.builtin,248.979
AS14.01,2014-03-20,appCat.communication,2168.229
AS14.01,2014-03-20,appCat.entertainment,350.856
AS14.01,2014-03-20,appCat.other,11.345
AS14.01,2014-03-20,appCat.social,807.731
AS14.01,2014-03-20,appCat.unknown,45.173
AS14.01,2014-03-20,appCat.utilities,21.073999999999998
AS14.01,2014-03-20,call,1.0
AS14.01,2014-03-20,downtime,23869.743
AS14.01,2014-03-21,activity,3.0831523917559385
AS14.01,2014-03-21,appCat.builtin,3139.218
AS14.01,2014-03-21,appCat.communication,6280.89
AS14.01,2014-03-21,appCat.entertainment,1007.456
AS14.01,2014-03-21,appCat.finance,49.544
AS14.01,2014-03-21,appCat.office,172.20600000000002
AS14.01,2014-03-21,appCat.other,239.751
AS14.01,2014-03-21,appCat.social,4508.5
AS14.01,2014-03-21,appCat.travel,915.445
AS14.01,2014-03-21,appCat.utilities,598.754
AS14.01,2014-03-21,call,6.0
AS14.01,2014-03-21,circumplex.arousal,0.2
AS14.01,2014-03-21,circumplex.valence,0.2
AS14.01,2014-03-21,downtime,849593.547
AS14.01,2014-03-21,mood,6.2
AS14.01,2014-03-22,activity,3.7900835078393302
AS14.01,2014-03-22,appCat.builtin,731.429
AS14.01,2014-03-22,appCat.communication,4962.918
AS14.01,2014-03-22,appCat.entertainment,93.324
AS14.01,2014-03-22,appCat.finance,21.076
AS14.01,2014-03-22,appCat.other,98.143
AS14.01,2014-03-22,appCat.social,439.632
AS14.01,2014-03-22,appCat.travel,37.305
AS14.01,2014-03-22,appCat.utilities,117.62100000000001
AS14.01,2014-03-22,call,3.0
AS14.01,2014-03-22,circumplex.arousal,0.6
AS14.01,2014-03-22,circumplex.valence,0.5
AS14.01,2014-03-22,downtime,1129973.941
AS14.01,2014-03-22,mood,6.4
AS14.01,2014-03-22,sms,1.0
AS14.01,2014-03-23,activity,2.1411167370759547
AS14.01,2014-03-23,appCat.builtin,1286.246
AS14.01,2014-03-23,appCat.communication,5237.319
AS14.01,2014-03-23,appCat.entertainment,94.346
AS14.01,2014-03-23,appCat.finance,43.403
AS14.01,2014-03-23,appCat.other,72.82300000000001
AS14.01,2014-03-23,appCat.social,900.839
AS14.01,2014-03-23,appCat.utilities,30.086
AS14.01,2014-03-23,appCat.weather,30.386
AS14.01,2014-03-23,circumplex.arousal,0.2
AS14.01,2014-03-23,circumplex.valence,0.8
AS14.01,2014-03-23,downtime,883573.136
AS14.01,2014-03-23,mood,6.8
AS14.01,2014-03-24,activity,1.895065346774351
AS14.01,2014-03-24,appCat.builtin,866.956
AS14.01,2014-03-24,appCat.communication,9270.629
AS14.01,2014-03-24,appCat.entertainment,976.9709999999999
AS14.01,2014-03-24,appCat.finance,34.106
AS14.01,2014-03-24,appCat.office,3.01
AS14.01,2014-03-24,appCat.other,66.558
AS14.01,2014-03-24,appCat.social,3223.6259999999997
AS14.01,2014-03-24,appCat.travel,419.805
AS14.01,2014-03-24,appCat.utilities,178.732
AS14.01,2014-03-24,call,10.0
AS14.01,2014-03-24,circumplex.arousal,0.8
AS14.01,2014-03-24,circumplex.valence,0.0
AS14.01,2014-03-24,downtime,955291.1560000001
AS14.01,2014-03-24,mood,6.0
AS14.01,2014-03-25,activity,2.3609786973721625
AS14.01,2014-03-25,appCat.builtin,1032.768
AS14.01,2014-03-25,appCat.communication,10276.751
AS14.01,2014-03-25,appCat.entertainment,68.206
AS14.01,2014-03-25,appCat.finance,43.054
AS14.01,2014-03-25,appCat.other,178.81900000000002
AS14.01,2014-03-25,appCat.social,1919.471
AS14.01,2014-03-25,appCat.unknown,235.223
AS14.01,2014-03-25,appCat.utilities,222.893
AS14.01,2014-03-25,circumplex.arousal,0.5
AS14.01,2014-03-25,circumplex.valence,0.5
AS14.01,2014-03-25,downtime,920704.812
AS14.01,2014-03-25,mood,6.75
AS14.01,2014-03-25,sms,1.0
AS14.01,2014-03-26,activity,2.431399720081822
AS14.01,2014-03-26,appCat.builtin,1167.497
AS14.01,2014-03-26,appCat.communication,8988.753
AS14.01,2014-03-26,appCat.entertainment,910.479
AS14.01,2014-03-26,appCat.finance,52.331
AS14.01,2014-03-26,appCat.other,97.49799999999999
AS14.01,2014-03-26,appCat.social,4592.059
AS14.01,2014-03-26,appCat.utilities,33.365
AS14.01,2014-03-26,circumplex.arousal,-0.2
AS14.01,2014-03-26,circumplex.valence,0.6
AS14.01,2014-03-26,downtime,937093.458
AS14.01,2014-03-26,mood,6.6
AS14.01,2014-03-27,activity,3.5092341013201445
AS14.01,2014-03-27,appCat.builtin,1229.327
AS14.01,2014-03-27,appCat.communication,6936.512
AS14.01,2014-03-27,appCat.entertainment,639.3389999999999
AS14.01,2014-03-27,appCat.finance,42.219
AS14.01,2014-03-27,appCat.office,182.451
AS14.01,2014-03-27,appCat.other,58.532
AS14.01,2014-03-27,appCat.social,935.381
AS14.01,2014-03-27,appCat.travel,47.314
AS14.01,2014-03-27,appCat.utilities,179.029
AS14.01,2014-03-27,call,2.0
AS14.01,2014-03-27,circumplex.arousal,0.2
AS14.01,2014-03-27,circumplex.valence,0.8
AS14.01,2014-03-27,downtime,1059590.652
AS14.01,2014-03-27,mood,7.0
AS14.01,2014-03-27,sms,1.0
AS14.01,2014-03-28,activity,2.2967525192908833
AS14.01,2014-03-28,appCat.builtin,10062.595
AS14.01,2014-03-28,appCat.communication,866.833
AS14.01,2014-03-28,appCat.entertainment,1005.403
AS14.01,2014-03-28,appCat.finance,89.166
AS14.01,2014-03-28,appCat.game,233.036
AS14.01,2014-03-28,appCat.other,225.951
AS14.01,2014-03-28,appCat.social,512.741
AS14.01,2014-03-28,appCat.travel,1133.009
AS14.01,2014-03-28,appCat.utilities,301.717
AS14.01,2014-03-28,call,5.0
AS14.01,2014-03-28,circumplex.arousal,-0.6
AS14.01,2014-03-28,circumplex.valence,0.6
AS14.01,2014-03-28,downtime,1162939.221
AS14.01,2014-03-28,mood,6.4
AS14.01,2014-03-29,activity,1.6368674424448715
AS14.01,2014-03-29,appCat.builtin,1952.63
AS14.01,2014-03-29,appCat.communication,2720.692
AS14.01,2014-03-29,appCat.entertainment,1627.429
AS14.01,2014-03-29,appCat.other,169.594
AS14.01,2014-03-29,appCat.social,472.888
AS14.01,2014-03-29,appCat.travel,52.434999999999995
AS14.01,2014-03-29,appCat.utilities,600.637
AS14.01,2014-03-29,call,4.0
AS14.01,2014-03-29,circumplex.arousal,0.2
AS14.01,2014-03-29,circumplex.valence,1.0
AS14.01,2014-03-29,downtime,1009422.121
AS14.01,2014-03-29,mood,8.0
AS14.01,2014-03-29,sms,1.0
AS14.01,2014-03-30,activity,0.687301587301588
AS14.01,2014-03-30,appCat.builtin,414.365
AS14.01,2014-03-30,appCat.communication,1298.505
AS14.01,2014-03-30,appCat.entertainment,1535.677
AS14.01,2014-03-30,appCat.other,74.003
AS14.01,2014-03-30,appCat.social,167.685
AS14.01,2014-03-30,appCat.unknown,66.477
AS14.01,2014-03-30,appCat.utilities,38.296
AS14.01,2014-03-30,circumplex.arousal,-0.5
AS14.01,2014-03-30,circumplex.valence,0.75
AS14.01,2014-03-30,downtime,938302.48
AS14.01,2014-03-30,mood,7.5
AS14.01,2014-03-31,activity,1.6921315412013491
AS14.01,2014-03-31,appCat.builtin,2961.4049999999997
AS14.01,2014-03-31,appCat.communication,5332.637
AS14.01,2014-03-31,appCat.entertainment,1758.92
AS14.01,2014-03-31,appCat.finance,41.254999999999995
AS14.01,2014-03-31,appCat.game,51.176
AS14.01,2014-03-31,appCat.other,268.554
AS14.01,2014-03-31,appCat.social,1350.655
AS14.01,2014-03-31,appCat.travel,183.381
AS14.01,2014-03-31,appCat.unknown,29.29
AS14.01,2014-03-31,appCat.utilities,210.305
AS14.01,2014-03-31,call,6.0
AS14.01,2014-03-31,circumplex.arousal,0.0
AS14.01,2014-03-31,circumplex.valence,0.6
AS14.01,2014-03-31,downtime,929109.246
AS14.01,2014-03-31,mood,7.4
AS14.01,2014-04-01,activity,2.842637825105664
AS14.01,2014-04-01,appCat.builtin,1385.517
AS14.01,2014-04-01,appCat.communication,6095.526
AS14.01,2014-04-01,appCat.entertainment,1030.637
AS14.01,2014-04-01,appCat.finance,547.826
AS14.01,2014-04-01,appCat.game,234.741
AS14.01,2014-04-01,appCat.office,92.388
AS14.01,2014-04-01,appCat.other,121.19
AS14.01,2014-04-01,appCat.social,5040.067
AS14.01,2014-04-01,appCat.travel,1614.621
AS14.01,2014-04-01,appCat.utilities,517.636
AS14.01,2014-04-01,call,1.0
AS14.01,2014-04-01,circumplex.arousal,0.2
AS14.01,2014-04-01,circumplex.valence,0.0
AS14.01,2014-04-01,downtime,1180003.881
AS14.01,2014-04-01,mood,6.0
AS14.01,2014-04-02,activity,2.4459986553173634
AS14.01,2014-04-02,appCat.builtin,3614.349
AS14.01,2014-04-02,appCat.communication,6920.156
AS14.01,2014-04-02,appCat.entertainment,1343.376
AS14.01,2014-04-02,appCat.finance,247.777
AS14.01,2014-04-02,appCat.office,90.481
AS14.01,2014-04-02,appCat.other,541.5409999999999
AS14.01,2014-04-02,appCat.social,3428.792
AS14.01,2014-04-02,appCat.utilities,341.371
AS14.01,2014-04-02,call,4.0
AS14.01,2014-04-02,circumplex.arousal,0.3333333333333333
AS14.01,2014-04-02,circumplex.valence,0.6666666666666666
AS14.01,2014-04-02,downtime,1093914.919
AS14.01,2014-04-02,mood,6.5
AS14.01,2014-04-03,activity,1.181723345002586
AS14.01,2014-04-03,appCat.builtin,2321.464
AS14.01,2014-04-03,appCat.communication,14438.082
AS14.01,2014-04-03,appCat.entertainment,1293.631
AS14.01,2014-04-03,appCat.finance,76.234
AS14.01,2014-04-03,appCat.other,213.90200000000002
AS14.01,2014-04-03,appCat.social,3154.241
AS14.01,2014-04-03,appCat.travel,19.082
AS14.01,2014-04-03,appCat.utilities,182.77200000000002
AS14.01,2014-04-03,call,4.0
AS14.01,2014-04-03,circumplex.arousal,-1.2
AS14.01,2014-04-03,circumplex.valence,0.0
AS14.01,2014-04-03,downtime,1092697.23
AS14.01,2014-04-03,mood,6.4
AS14.01,2014-04-04,activity,3.0405434689758195
AS14.01,2014-04-04,appCat.builtin,1957.829
AS14.01,2014-04-04,appCat.communication,5481.628
AS14.01,2014-04-04,appCat.entertainment,1545.2269999999999
AS14.01,2014-04-04,appCat.other,176.801
AS14.01,2014-04-04,appCat.social,2086.197
AS14.01,2014-04-04,appCat.travel,158.24099999999999
AS14.01,2014-04-04,appCat.utilities,128.692
AS14.01,2014-04-04,call,2.0
AS14.01,2014-04-04,circumplex.arousal,0.2
AS14.01,2014-04-04,circumplex.valence,0.4
AS14.01,2014-04-04,downtime,1039239.785
AS14.01,2014-04-04,mood,6.2
AS14.01,2014-04-04,sms,1.0
AS14.01,2014-04-05,activity,2.856055252882692
AS14.01,2014-04-05,appCat.builtin,15159.190000000002
AS14.01,2014-04-05,appCat.communication,1885.409
AS14.01,2014-04-05,appCat.entertainment,76.369
AS14.01,2014-04-05,appCat.other,81.133
AS14.01,2014-04-05,appCat.social,363.208
AS14.01,2014-04-05,appCat.travel,187.945
AS14.01,2014-04-05,appCat.utilities,118.956
AS14.01,2014-04-05,circumplex.arousal,-0.4
AS14.01,2014-04-05,circumplex.valence,0.6
AS14.01,2014-04-05,downtime,959432.49
AS14.01,2014-04-05,mood,6.8
AS14.01,2014-04-06,activity,1.5457871866192354
AS14.01,2014-04-06,appCat.builtin,4548.662
AS14.01,2014-04-06,appCat.communication,3355.743
AS14.01,2014-04-06,appCat.entertainment,187.214
AS14.01,2014-04-06,appCat.game,114.406
AS14.01,2014-04-06,appCat.other,119.12
AS14.01,2014-04-06,appCat.social,321.46000000000004
AS14.01,2014-04-06,appCat.utilities,46.249
AS14.01,2014-04-06,call,4.0
AS14.01,2014-04-06,circumplex.arousal,-0.75
AS14.01,2014-04-06,circumplex.valence,0.5
AS14.01,2014-04-06,downtime,915930.77
AS14.01,2014-04-06,mood,6.5
AS14.01,2014-04-07,activity,1.2160949081836292
AS14.01,2014-04-07,appCat.builtin,927.377
AS14.01,2014-04-07,appCat.communication,7355.015
AS14.01,2014-04-07,appCat.entertainment,447.121
AS14.01,2014-04-07,appCat.finance,46.128
AS14.01,2014-04-07,appCat.office,17.107
AS14.01,2014-04-07,appCat.other,170.348
AS14.01,2014-04-07,appCat.social,1475.418
AS14.01,2014-04-07,appCat.travel,60.247
AS14.01,2014-04-07,appCat.utilities,205.81100000000004
AS14.01,2014-04-07,call,1.0
AS14.01,2014-04-07,circumplex.arousal,-0.6666666666666666
AS14.01,2014-04-07,circumplex.valence,0.25
AS14.01,2014-04-07,downtime,1005455.8690000001
AS14.01,2014-04-07,mood,6.5
AS14.01,2014-04-08,activity,1.8078493982723638
AS14.01,2014-04-08,appCat.builtin,892.689
AS14.01,2014-04-08,appCat.communication,9477.553
AS14.01,2014-04-08,appCat.entertainment,3466.4790000000003
AS14.01,2014-04-08,appCat.finance,19.131
AS14.01,2014-04-08,appCat.other,209.514
AS14.01,2014-04-08,appCat.social,2655.121
AS14.01,2014-04-08,appCat.utilities,36.143
AS14.01,2014-04-08,call,1.0
AS14.01,2014-04-08,circumplex.arousal,-0.4
AS14.01,2014-04-08,circumplex.valence,0.3333333333333333
AS14.01,2014-04-08,downtime,996550.841
AS14.01,2014-04-08,mood,6.6
AS14.01,2014-04-09,activity,2.8892187487758902
AS14.01,2014-04-09,appCat.builtin,1638.617
AS14.01,2014-04-09,appCat.communication,6177.076
AS14.01,2014-04-09,appCat.entertainment,940.77
AS14.01,2014-04-09,appCat.other,346.654
AS14.01,2014-04-09,appCat.social,2826.35
AS14.01,2014-04-09,appCat.utilities,577.3589999999999
AS14.01,2014-04-09,call,4.0
AS14.01,2014-04-09,circumplex.arousal,-0.8
AS14.01,2014-04-09,circumplex.valence,1.0
AS14.01,2014-04-09,downtime,1049083.7
AS14.01,2014-04-09,mood,7.4
AS14.01,2014-04-10,activity,1.8951145246773855
AS14.01,2014-04-10,appCat.builtin,715.355
AS14.01,2014-04-10,appCat.communication,4881.411
AS14.01,2014-04-10,appCat.entertainment,1858.893
AS14.01,2014-04-10,appCat.game,1.059
AS14.01,2014-04-10,appCat.office,23.195
AS14.01,2014-04-10,appCat.other,107.91900000000001
AS14.01,2014-04-10,appCat.social,1174.717
AS14.01,2014-04-10,appCat.utilities,377.687
AS14.01,2014-04-10,call,7.0
AS14.01,2014-04-10,circumplex.arousal,-0.4
AS14.01,2014-04-10,circumplex.valence,0.8
AS14.01,2014-04-10,downtime,1035848.991
AS14.01,2014-04-10,mood,7.4
AS14.01,2014-04-11,activity,1.9196688497534526
AS14.01,2014-04-11,appCat.builtin,3369.031
AS14.01,2014-04-11,appCat.communication,3336.592
AS14.01,2014-04-11,appCat.entertainment,1976.138
AS14.01,2014-04-11,appCat.finance,94.093
AS14.01,2014-04-11,appCat.other,51.452
AS14.01,2014-04-11,appCat.social,596.807
AS14.01,2014-04-11,appCat.travel,34.234
AS14.01,2014-04-11,appCat.utilities,214.648
AS14.01,2014-04-11,circumplex.arousal,-1.2
AS14.01,2014-04-11,circumplex.valence,0.8
AS14.01,2014-04-11,downtime,890959.477
AS14.01,2014-04-11,mood,7.0
AS14.01,2014-04-12,activity,1.733977475287636
AS14.01,2014-04-12,appCat.builtin,302.446
AS14.01,2014-04-12,appCat.communication,6595.083
AS14.01,2014-04-12,appCat.entertainment,2186.482
AS14.01,2014-04-12,appCat.other,79.033
AS14.01,2014-04-12,appCat.social,264.432
AS14.01,2014-04-12,appCat.travel,5.031
