,0
0,6.333333333333333
1,6.2
2,6.4
3,6.8
4,6.0
5,6.75
6,6.6
7,7.0
8,6.4
9,8.0
10,7.5
11,7.4
12,6.0
13,6.5
14,6.4
15,6.2
16,6.8
17,6.5
18,6.5
19,6.6
20,7.4
21,7.4
22,7.0
23,7.25
24,8.0
25,7.2
26,6.4
27,7.2
28,6.625
29,6.8
30,7.8
31,7.25
46,6.75
47,8.2
48,6.8
49,7.25
50,7.5
51,6.5
52,6.25
53,6.4
54,7.75
55,7.2
56,7.25
57,6.8
58,7.25
59,7.0
60,7.2
61,7.4
62,6.4
63,5.75
64,6.4
65,7.4
66,4.5
67,6.8
68,6.25
69,7.25
70,7.25
71,6.5
72,6.0
73,7.2
86,7.8
87,8.2
88,7.8
89,7.8
90,8.25
91,7.75
92,8.0
93,8.6
94,8.4
95,7.4
96,7.6
97,7.4
98,7.8
99,7.8
100,7.6
101,6.8
102,7.4
103,7.4
104,7.8
105,7.4
106,7.6
107,7.666666666666667
108,7.4
109,7.0
110,7.6
111,8.0
112,7.25
113,7.5
114,7.8
115,7.5
116,7.4
117,7.6
132,6.2
133,6.333333333333333
134,6.0
135,7.5
136,6.75
137,7.2
138,7.25
139,3.75
140,4.4
141,3.75
142,5.333333333333333
143,5.5
144,5.8
145,6.2
146,6.4
147,6.2
148,6.8
149,7.0
150,7.0
151,7.2
152,7.0
153,7.5
154,6.8
155,6.75
156,6.75
157,7.0
158,7.2
159,7.0
160,7.0
161,7.5
162,6.4
163,7.0
164,7.2
165,6.6
166,7.5
167,7.2
184,7.0
185,8.0
186,7.0
187,7.6
188,7.8
189,7.8
190,7.0
191,7.75
192,6.8
193,7.2
194,7.0
195,7.0
196,7.0
197,6.2
198,6.6
199,7.4
200,7.6
201,7.8
202,8.2
203,6.666666666666667
204,7.25
205,7.0
206,7.6
207,6.8
208,6.25
209,6.8
210,8.2
211,7.0
212,6.6
213,7.0
228,5.25
229,7.0
230,6.0
231,7.75
232,8.0
233,7.666666666666667
234,6.6
235,6.8
236,8.25
237,7.0
238,6.2
239,4.333333333333333
240,6.6
241,5.5
242,6.2
243,6.5
244,6.0
245,6.75
246,5.4
247,6.8
248,6.4
249,6.2
250,3.5
251,6.4
252,6.5
253,6.2
254,6.0
255,4.75
256,3.8
257,5.2
258,7.0
259,3.0
275,7.2
276,7.4
277,7.0
278,7.2
279,6.8
280,6.6
281,7.0
282,6.6
283,7.4
284,6.4
285,7.0
286,5.4
287,6.4
288,7.0
289,6.4
290,6.6
291,6.4
292,7.2
293,6.8
294,7.2
295,6.5
296,6.333333333333333
297,6.25
298,7.166666666666667
299,6.8
300,7.6
301,7.2
302,6.6
303,7.0
304,7.5
305,7.4
306,7.6
307,7.0
308,6.5
309,6.25
310,7.6
311,7.6
312,7.0
313,7.6
314,6.6
315,6.4
316,6.6
336,7.0
337,6.75
338,7.25
339,6.2
340,7.75
341,7.8
342,8.25
343,8.0
344,7.75
345,7.0
346,7.6
347,6.2
348,7.6
349,7.25
350,7.5
351,6.8
352,6.2
353,7.2
354,6.5
355,6.0
356,6.8
357,7.0
358,6.0
359,5.8
360,6.0
361,5.5
362,7.0
363,6.6
364,8.0
365,6.25
366,6.5
381,7.0
382,6.75
383,6.75
384,5.625
385,6.4
386,6.4
387,6.0
388,5.4
389,6.5
390,6.2
391,6.25
392,6.4
393,6.25
394,5.25
395,6.4
396,6.6
397,6.8
398,5.6
399,6.6
400,6.8
401,7.0
402,6.8
403,6.6
404,5.8
405,6.4
406,6.0
407,6.5
408,5.8
421,7.8
422,7.0
423,6.4
424,6.6
425,7.0
426,7.8
427,6.4
428,6.4
429,8.4
430,7.4
431,8.8
432,7.6
433,8.4
434,7.4
435,7.6
436,7.2
437,6.2
438,7.0
439,7.5
440,7.4
441,7.6
442,7.8
443,6.8
444,6.25
445,7.4
446,8.2
447,7.8
448,7.6
449,6.8
450,6.8
451,6.6
452,6.8
453,6.0
454,6.0
455,6.4
456,3.5
473,6.4
474,5.8
475,6.0
476,6.5
477,5.75
478,7.0
479,6.6
480,6.2
481,8.0
482,6.5
483,6.75
484,6.2
485,7.0
486,7.333333333333333
487,7.5
488,7.4
489,7.4
490,7.0
491,6.8
492,8.0
493,6.666666666666667
494,7.75
495,7.5
496,7.5
497,6.0
498,6.0
499,6.2
500,6.5
501,6.75
502,7.5
516,6.75
517,6.166666666666667
518,6.4
519,7.2
520,7.4
521,7.0
522,7.0
523,7.0
524,7.0
525,7.0
526,7.0
527,7.2
528,7.0
529,7.2
530,7.0
531,7.4
532,7.2
533,7.2
534,7.2
535,7.2
536,7.2
537,7.8
538,6.2
539,6.8
540,6.8
541,7.0
542,7.2
543,7.0
544,7.4
545,7.0
546,7.0
547,7.0
548,7.0
549,6.4
550,6.0
551,7.0
552,7.0
570,7.4
571,6.4
572,6.6
573,7.2
574,6.6
575,6.4
576,5.666666666666667
577,6.8
578,6.5
579,7.0
580,6.4
581,6.0
582,5.6
583,6.0
584,6.5
585,5.75
586,5.4
587,6.0
588,5.8
589,6.4
590,6.25
591,6.2
592,7.0
593,6.75
594,7.0
595,6.4
596,7.2
597,6.6
598,7.0
599,7.0
600,6.4
601,7.0
602,6.6
603,7.25
604,7.0
605,6.8
622,8.0
623,7.25
624,7.5
625,7.6
626,7.2
627,7.333333333333333
628,6.2
629,6.4
630,7.25
631,8.0
632,7.4
633,7.4
634,7.4
635,7.0
636,7.5
637,7.2
638,7.2
639,7.2
640,6.8
641,8.0
642,7.25
643,7.4
644,7.5
645,7.2
646,7.0
647,7.0
648,7.25
649,7.0
650,7.0
651,7.0
652,6.75
653,7.2
654,7.2
655,7.2
656,7.0
657,7.0
658,7.2
659,7.0
677,6.6
678,7.0
679,6.0
680,5.5
681,6.0
682,6.6
683,6.6
684,7.4
685,7.0
686,7.2
687,6.4
688,7.6
689,6.6
690,7.0
691,8.0
692,7.25
693,6.6
694,6.8
695,7.2
696,6.75
697,6.8
698,7.2
699,7.2
700,7.0
701,6.4
702,6.8
703,6.8
704,6.8
705,6.8
706,7.6
707,6.4
722,7.0
723,7.5
724,7.6
725,6.8
726,6.0
727,6.8
728,7.0
729,6.25
730,7.4
731,7.5
732,7.0
733,6.25
734,6.5
735,6.666666666666667
736,7.0
737,7.0
738,7.0
739,6.8
740,7.25
741,7.75
742,7.0
743,7.5
744,6.8
745,6.8
746,6.8
747,6.8
748,7.2
749,6.4
750,6.75
751,7.5
752,7.6
753,7.4
768,7.0
769,5.8
770,6.2
771,7.0
772,7.0
773,7.0
774,7.25
775,7.0
776,7.5
777,7.5
778,7.0
779,7.0
780,7.0
781,6.5
782,7.0
783,5.75
784,6.6
785,7.2
786,7.0
787,7.0
788,7.75
789,7.2
790,7.25
791,7.4
792,7.4
793,7.6
806,7.6
807,7.4
808,6.75
809,7.0
810,7.25
811,7.8
812,7.5
813,7.2
814,7.5
815,6.8
816,6.2
817,7.6
818,7.0
819,6.8
820,6.0
821,6.333333333333333
822,7.4
823,7.0
824,6.833333333333333
825,7.5
826,6.0
827,7.0
828,7.0
829,7.4
830,7.0
831,7.25
832,7.0
833,7.5
834,5.2
835,6.4
836,7.0
837,7.6
838,7.2
839,7.4
840,7.0
841,6.2
842,6.6
860,7.4
861,6.5
862,7.75
863,7.0
864,6.6
865,6.4
866,6.5
867,7.2
868,6.5
869,6.25
870,7.5
871,6.8
872,7.4
873,8.25
874,6.5
875,6.0
876,6.25
877,7.0
878,7.375
879,7.2
889,7.0
890,6.6
891,6.4
892,6.2
893,8.0
894,8.2
895,7.2
896,7.0
897,6.6
898,6.4
899,6.8
900,6.75
901,8.0
902,6.75
903,6.75
904,6.4
905,6.4
906,6.6
907,6.6
908,7.75
909,7.0
910,7.4
911,6.8
912,6.8
913,6.0
914,7.2
915,8.0
916,8.0
917,6.4
918,7.25
919,6.2
920,5.8
921,6.6
922,8.0
923,7.8
924,8.0
925,6.6
926,6.2
927,6.8
928,7.2
929,7.8
930,7.4
931,6.5
932,6.8
933,6.6
934,6.8
956,7.0
957,7.4
958,7.0
959,7.6
960,7.6
961,7.0
962,7.4
963,5.8
964,7.0
965,8.75
966,7.6
967,7.2
968,7.8
969,7.6
970,8.6
971,7.5
972,7.2
973,6.8
974,7.8
975,8.0
976,7.6
977,7.6
978,9.333333333333334
979,8.0
980,7.8
981,7.2
982,6.6
983,7.6
997,7.5
998,6.8
999,8.0
1000,5.75
1001,7.6
1002,7.2
1003,8.0
1004,7.8
1005,7.0
1006,7.0
1007,7.4
1008,7.8
1009,7.2
1010,6.8
1011,6.8
1012,6.5
1013,7.8
1014,5.8
1015,6.75
1016,7.75
1017,8.0
1018,7.25
1019,7.0
1020,8.0
1021,7.0
1034,7.25
1035,8.0
1036,8.2
1037,7.75
1038,7.2
1039,7.8
1040,7.6
1041,8.6
1042,7.2
1043,8.25
1044,8.2
1045,8.0
1046,8.25
1047,7.8
1048,7.6
1049,8.0
1050,7.0
1051,7.5
1052,7.2
1053,6.4
1054,7.6
1055,7.8
1056,7.5
1057,6.0
1058,6.5
1059,7.0
1060,7.6
1061,7.8
1075,7.8
1076,7.6
1077,7.8
1078,7.8
1079,8.0
1080,6.8
1081,7.75
1082,7.8
1083,8.4
1084,7.6
1085,7.6
1086,7.8
1087,7.6
1088,8.0
1089,7.8
1090,8.0
1091,8.0
1092,7.6
1093,7.8
1094,7.75
1095,8.2
1096,7.666666666666667
1097,7.8
1098,7.2
1099,7.75
1100,7.6
1101,8.4
1102,7.6
1103,7.4
1104,7.8
1105,7.75
1106,7.8
1121,6.6
1122,6.8
1123,7.4
1124,6.6
1125,6.6
1126,7.0
1127,7.0
1128,7.2
1129,7.8
1130,7.0
1131,6.8
1132,6.2
1133,7.0
1134,6.75
1135,7.0
1136,6.8
1137,7.8
1138,8.0
1139,6.4
1140,7.0
1141,7.0
1142,6.5
1143,7.0
1144,7.0
1145,7.4
1146,6.8
1147,7.0
1148,7.0
1149,7.0
1163,7.0
1164,8.0
1165,8.0
1166,8.4
1167,7.6
1168,7.0
1169,7.8
1170,7.333333333333333
1171,8.25
1172,7.666666666666667
1173,8.6
1174,8.0
1175,7.5
1176,8.0
1177,8.5
1178,8.5
1179,7.0
1180,7.0
1181,7.0
1182,8.0
1183,8.0
1184,7.0
1185,7.5
1186,8.0
1187,7.0
1199,7.2
1200,7.4
1201,7.666666666666667
1202,7.4
1203,7.2
1204,6.2
1205,5.2
1206,7.0
1207,8.4
1208,7.6
1209,6.2
1210,6.75
1211,6.2
1212,6.4
1213,7.0
1214,8.333333333333334
1215,7.333333333333333
1216,5.0
1217,6.6
1218,4.8
1219,7.6
1220,6.0
1221,6.0
1222,5.0
1223,6.833333333333333
1224,6.0
1225,7.0
1226,6.0
1227,6.0
